location_name,location_id,ihme_loc_id,level,region_name,super_region_name
Sverdlovsk oblast,44962,RUS_44962,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Tambov oblast,44916,RUS_44916,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Tomsk oblast,44978,RUS_44978,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Tula oblast,44918,RUS_44918,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Tver oblast,44917,RUS_44917,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Tyumen oblast without autonomous areas,44965,RUS_44965,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Udmurt Republic,44951,RUS_44951,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Ulyanovsk oblast,44960,RUS_44960,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Vladimir oblast,44905,RUS_44905,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Volgograd oblast,44937,RUS_44937,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Vologda oblast,44925,RUS_44925,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Voronezh oblast,44906,RUS_44906,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Yamalo-Nenets autonomous area,44964,RUS_44964,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Yaroslavl oblast,44919,RUS_44919,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Zabaikalsk kray,44972,RUS_44972,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Ukraine,63,UKR,3,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Republic of Crimea,44934,UKR_44934,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Sevastopol,44939,UKR_44939,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
Ukraine (without Crimea & Sevastopol),50559,UKR_50559,4,Eastern Europe,"Central Europe, Eastern Europe, and Central Asia"
High-income,64,S1,1,"",High-income
Australasia,70,R6,2,Australasia,High-income
Australia,71,AUS,3,Australasia,High-income
New Zealand,72,NZL,3,Australasia,High-income
New Zealand Maori population,44850,NZL_44850,4,Australasia,High-income
New Zealand non-Maori population,44851,NZL_44851,4,Australasia,High-income
High-income Asia Pacific,65,R1,2,High-income Asia Pacific,High-income
Brunei Darussalam,66,BRN,3,High-income Asia Pacific,High-income
Japan,67,JPN,3,High-income Asia Pacific,High-income
Aichi,35446,JPN_35446,4,High-income Asia Pacific,High-income
Akita,35428,JPN_35428,4,High-income Asia Pacific,High-income
Aomori,35425,JPN_35425,4,High-income Asia Pacific,High-income
Chiba,35435,JPN_35435,4,High-income Asia Pacific,High-income
Ehime,35461,JPN_35461,4,High-income Asia Pacific,High-income
Fukui,35441,JPN_35441,4,High-income Asia Pacific,High-income
Fukuoka,35463,JPN_35463,4,High-income Asia Pacific,High-income
Fukushima,35430,JPN_35430,4,High-income Asia Pacific,High-income
Gifu,35444,JPN_35444,4,High-income Asia Pacific,High-income
Gunma,35433,JPN_35433,4,High-income Asia Pacific,High-income
Hiroshima,35457,JPN_35457,4,High-income Asia Pacific,High-income
Hokkaidō,35424,JPN_35424,4,High-income Asia Pacific,High-income
Hyōgo,35451,JPN_35451,4,High-income Asia Pacific,High-income
Ibaraki,35431,JPN_35431,4,High-income Asia Pacific,High-income
Ishikawa,35440,JPN_35440,4,High-income Asia Pacific,High-income
Iwate,35426,JPN_35426,4,High-income Asia Pacific,High-income
Kagawa,35460,JPN_35460,4,High-income Asia Pacific,High-income
Kagoshima,35469,JPN_35469,4,High-income Asia Pacific,High-income
Kanagawa,35437,JPN_35437,4,High-income Asia Pacific,High-income
Kōchi,35462,JPN_35462,4,High-income Asia Pacific,High-income
Kumamoto,35466,JPN_35466,4,High-income Asia Pacific,High-income
Kyōto,35449,JPN_35449,4,High-income Asia Pacific,High-income
Mie,35447,JPN_35447,4,High-income Asia Pacific,High-income
Miyagi,35427,JPN_35427,4,High-income Asia Pacific,High-income
Miyazaki,35468,JPN_35468,4,High-income Asia Pacific,High-income
Nagano,35443,JPN_35443,4,High-income Asia Pacific,High-income
Nagasaki,35465,JPN_35465,4,High-income Asia Pacific,High-income
Nara,35452,JPN_35452,4,High-income Asia Pacific,High-income
Niigata,35438,JPN_35438,4,High-income Asia Pacific,High-income
Ōita,35467,JPN_35467,4,High-income Asia Pacific,High-income
Okayama,35456,JPN_35456,4,High-income Asia Pacific,High-income
Okinawa,35470,JPN_35470,4,High-income Asia Pacific,High-income
Ōsaka,35450,JPN_35450,4,High-income Asia Pacific,High-income
Saga,35464,JPN_35464,4,High-income Asia Pacific,High-income
Saitama,35434,JPN_35434,4,High-income Asia Pacific,High-income
Shiga,35448,JPN_35448,4,High-income Asia Pacific,High-income
